"","happiness_score","country","density","agricultural_land","land_area","armed_forces","birth_rate","carbon_emissions","cpi","cpi_change","fertility_rate","forested_area","gasoline_price","gdp","primary_edu_enrollment","tertiary_edu_enrollment","infant_mortality","life_expectancy","maternal_mortality","minimum_wage","pocket_health_expenditure","physicians_per_thousand","population","labor_force","tax_revenue","total_tax","unemployment_rate","urban_population","latitude","longitude"
"83",4.954,"Mozambique",40,63.5,799380,11000,37.52,7943,182.31,2.8,4.85,48,0.65,14934159926,112.6,7.3,54,60.2,289,0.27,6.8,0.08,30366036,78.1,0,"36.10",3.24,11092106,-18.665695,35.529562
"84",4.372,"Myanmar",83,19.5,676578,513000,17.55,25280,168.18,8.8,2.15,43.6,0.54,76085852617,112.3,18.8,36.8,66.9,250,0.39,73.9,0.68,54045420,61.7,5.4,"31.20",1.58,16674093,21.916221,95.955974
"85",4.631,"Namibia",3,47.1,824292,16000,28.64,4228,157.97,3.7,3.4,8.3,0.76,12366527719,124.2,22.9,29,63.4,195,NA,8.3,0.42,2494530,59.5,27.1,"20.70",20.27,1273258,-22.95764,18.49041
"86",5.36,"Nepal",203,28.7,147181,112000,19.89,9105,188.73,5.6,1.92,25.4,0.91,30641380604,142.1,12.4,26.7,70.5,186,0.36,60.4,0.75,28608710,83.8,20.7,"41.80",1.41,5765513,28.394857,84.124008
"87",7.403,"Netherlands",508,53.3,41543,41000,9.7,170780,115.91,2.6,1.59,11.2,1.68,909070395161,104.2,85,3.3,81.8,5,10.29,12.3,3.61,17332850,63.6,23,"41.20",3.2,15924729,52.132633,5.291266
"88",7.123,"New Zealand",18,40.5,268838,9000,11.98,34382,114.24,1.6,1.71,38.6,1.4,206928765544,100,82,4.7,81.9,9,11.49,12.6,3.59,4841000,69.9,29,"34.60",4.07,4258860,-40.900557,174.885971
"89",6.259,"Nicaragua",55,42.1,130370,12000,20.64,5592,162.74,5.4,2.4,25.9,0.91,12520915291,120.6,17.4,15.7,74.3,98,0.54,36,0.98,6545502,66.4,15.6,"60.60",6.84,3846137,12.865416,-85.207229
"90",4.501,"Niger",19,36.1,1267000,10000,46.08,2017,109.32,-2.5,6.91,0.9,0.88,12928145120,74.7,4.4,48,62,509,0.29,52.3,0.04,23310715,72,11.8,"47.20",0.47,3850231,17.607789,8.081666
"91",4.981,"Nigeria",226,77.7,923768,215000,37.91,120369,267.51,11.4,5.39,7.2,0.46,448120428859,84.7,10.2,75.7,54.3,917,0.54,72.2,0.38,200963599,52.9,1.5,"34.80",8.1,102806948,9.081999,8.675277
"92",5.254,"North Macedonia",83,NA,25713,NA,NA,NA,NA,NA,NA,NA,NA,10220781069,NA,NA,NA,NA,NA,NA,35.6,NA,1836713,NA,NA,"",NA,NA,41.608635,21.745275
"93",7.315,"Norway",15,2.7,323802,23000,10.4,41023,120.27,2.2,1.56,33.2,1.78,403336363636,100.3,82,2.1,82.8,2,NA,14.3,2.92,5347896,63.8,23.9,"36.20",3.35,4418218,60.472024,8.468946
"94",4.555,"Pakistan",287,47.8,796095,936000,28.25,201150,182.32,10.6,3.51,1.9,0.79,3.044e+11,94.3,9,57.2,67.1,140,0.69,66.5,0.98,216565318,52.6,9.2,"33.90",4.45,79927762,30.375321,69.345116
"95",6.265,"Panama",58,30.4,75420,26000,18.98,10715,122.07,-0.4,2.46,61.9,0.74,66800800000,94.4,47.8,13.1,78.3,52,1.53,30.5,1.57,4246439,66.6,NA,"37.20",3.9,2890084,8.537981,-80.782127
"96",5.738,"Paraguay",18,55.1,406752,27000,20.57,7407,143.82,2.8,2.43,37.7,1.04,38145288940,104.4,34.6,17.2,74.1,129,1.55,36.5,1.35,7044636,72.1,10,"35.00",4.81,4359150,-23.442503,-58.443832
"97",5.526,"Peru",26,18.5,1285216,158000,17.95,57414,129.78,2.1,2.25,57.7,0.99,226848050820,106.9,70.7,11.1,76.5,88,1.28,30.9,1.27,32510453,77.6,14.3,"36.80",3.31,25390339,-9.189967,-75.015152
"98",5.523,"Philippines",368,41.7,3e+05,153000,20.55,122287,129.61,2.5,2.58,27.8,0.86,376795508680,107.5,35.5,22.5,71.1,121,1.12,53.5,0.6,108116615,59.6,14,"43.10",2.15,50975903,12.879721,121.774017
"99",6.26,"Poland",124,46.9,312685,191000,10.2,299037,114.11,2.2,1.46,30.9,1.07,592164400688,100,67.8,3.8,77.6,2,2.93,23.2,2.38,37970874,56.7,17.4,"40.80",3.47,22796574,51.919438,19.145136
"100",5.968,"Portugal",111,39.5,92212,52000,8.5,48742,110.62,0.3,1.38,34.6,1.54,237686075635,106.2,63.9,3.1,81.3,8,3.78,27.7,5.12,10269417,58.8,22.8,"39.80",6.33,6753579,39.399872,-8.224454
"101",6.571,"Republic of the Congo",16,31.1,342000,12000,32.86,3282,124.74,2.2,4.43,65.4,0.97,10820591131,106.6,12.7,36.2,64.3,378,0.88,43.8,0.12,5380508,69.4,9,"54.30",9.47,3625010,-0.228021,15.827659
"102",6.589,"Romania",84,58.8,238391,126000,9.6,69259,123.78,3.8,1.71,30.1,1.16,250077444017,85.2,49.4,6.1,75.4,19,2.25,21.3,2.98,19356544,54.7,14.6,"20.00",3.98,10468793,45.943161,24.96676
"103",5.661,"Russia",9,13.3,17098240,1454000,11.5,1732027,180.75,4.5,1.57,49.8,0.59,1699876578871,102.6,81.9,6.1,72.7,17,0.53,36.4,4.01,144373535,61.8,11.4,"46.20",4.59,107683889,61.52401,105.318756
"104",6.463,"Saudi Arabia",16,80.8,2149690,252000,17.8,563449,118.4,-1.2,2.32,0.5,0.24,792966838162,99.8,68,6,75,17,3.85,15,2.61,34268528,55.9,8.9,"15.70",5.93,28807838,23.885942,45.079162
"105",4.855,"Senegal",87,46.1,196722,19000,34.52,10902,109.25,1.8,4.63,42.8,1.14,23578084052,81,12.8,31.8,67.7,315,0.31,44.2,0.07,16296364,45.7,16.3,"44.80",6.6,7765706,14.497401,-14.452362
"106",6.144,"Serbia",100,39.3,77474,32000,9.2,45221,144,1.8,1.49,31.1,1.16,51409167351,100.3,67.2,4.8,75.5,12,1.57,40.6,3.11,6944975,54.9,18.6,"36.60",12.69,3907243,44.016521,21.005859
"107",3.138,"Sierra Leone",111,54.7,71740,9000,33.41,1093,234.16,14.8,4.26,43.1,1.08,3941474311,112.8,2,78.5,54.3,1120,0.57,38.2,0.03,7813215,57.9,8.6,"30.70",4.43,3319366,8.460555,-11.779889
"108",6.587,"Singapore",8358,0.9,716,81000,8.8,37535,114.41,0.6,1.14,23.1,1.25,372062527489,100.6,84.8,2.3,83.1,8,NA,36.7,2.29,5703569,70.5,13.1,"21.00",4.11,5703569,1.352083,103.819836
"109",6.469,"Slovakia",114,39.2,49035,16000,10.6,32424,115.34,2.7,1.52,40.4,1.32,105422304976,98.7,46.6,4.6,77.2,5,3.11,18.4,3.42,5454073,59.5,18.7,"49.70",5.56,2930419,48.669026,19.699024
"110",6.65,"Slovenia",103,30.7,20273,7000,9.4,12633,111.05,1.6,1.6,62,1.32,53742159517,100.4,78.6,1.7,81,7,5.25,12.5,3.09,2087946,58.4,18.6,"31.00",4.2,1144654,46.151241,14.995463
"111",5.275,"South Africa",49,79.8,1219090,80000,20.51,476644,158.93,4.1,2.41,7.6,0.92,351431649241,100.9,22.4,28.5,63.9,119,NA,7.7,0.91,58558270,56,27.5,"29.20",28.18,39149717,-30.559482,22.937506
"112",5.951,"South Korea",527,17.4,99720,634000,6.4,620302,115.16,0.4,0.98,63.4,1.22,2.029e+12,98.1,94.3,2.7,82.6,11,6.49,36.8,2.36,51709098,63,15.6,"33.20",4.15,42106719,35.907757,127.766922
"113",6.436,"Spain",94,52.6,505370,196000,7.9,244002,110.96,0.7,1.26,36.9,1.26,1394116310769,102.7,88.9,2.5,83.3,4,5.6,24.2,3.87,47076781,57.5,14.2,"47.00",13.96,37927409,40.463667,-3.74922
"114",4.442,"Sri Lanka",341,43.7,65610,317000,15.83,23362,155.53,3.5,2.2,32.9,0.88,84008783756,100.2,19.6,6.4,76.8,36,0.35,38.4,1,21803000,53.9,11.9,"55.20",4.2,4052088,7.873054,80.771797
"115",4.908,"State of Palestine",847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,31.952162,35.233154
"116",7.395,"Sweden",25,7.4,450295,30000,11.4,43252,110.51,1.8,1.76,68.9,1.42,530832908738,126.6,67,2.2,82.5,4,NA,15.2,3.98,10285453,64.6,27.9,"49.10",6.48,9021165,60.128161,18.643501
"117",7.24,"Switzerland",219,38.4,41277,21000,10,34477,99.55,0.4,1.52,31.8,1.45,703082435360,105.2,59.6,3.7,83.6,5,NA,28.3,4.3,8574832,68.3,10.1,"28.80",4.58,6332428,46.818188,8.227512
"118",5.33,"Tajikistan",68,34.1,144100,17000,30.76,5310,148.57,6,3.59,3,0.71,8116626794,100.9,31.3,30.4,70.9,17,0.23,63.1,1.7,9321018,42,9.8,"67.30",11.02,2545477,38.861034,71.276093
